,A̱o,Trimestre,Ingresos (miles de pesos),Periodo,Cambio,Ingresos (USD)
0,2023,4,167376014.8,Oct-Dic 2023,295.0,567376.3213559323
1,2023,3,133106593.41,Jul-Sept 2023,295.0,451208.79122033896
2,2023,2,118060280.28,Jun-Mar 2023,295.0,400204.3399322034
4,2022,4,72443482.9891497,Oct-Dic 2022,130.0,557257.5614549977
5,2022,3,64086784.3305304,Jul-Sept 2022,130.0,492975.2640810031
6,2022,2,60419500.6232803,Abr-Jun 2022,130.0,464765.3894098485
7,2022,1,55219313.0146503,Ene-Mar 2022,130.0,424763.9462665408
8,2021,4,45467887.16501248,Oct-Dic 2021,95.0,478609.3385790787
9,2021,3,42999944.292822465,Jul-Sept 2021,95.0,452630.992556026
10,2021,2,38239666.63354247,Abr-Jun 2021,95.0,402522.8066688681
11,2021,1,36676371.36239245,Ene-Mar 2021,95.0,386067.0669725521
12,2020,4,33539702.716311768,Oct-Dic 2020,69.0,486082.6480624894
13,2020,3,31997444.530699246,Jul-Sept 2020,69.0,463731.08015506156
14,2020,2,32102475.991463635,Abr-Jun 2020,69.0,465253.2752386034
15,2020,1,29946216.452049132,Ene-Mar 2020,69.0,434003.1369862193
16,2019,4,24169250.699015297,Oct-Dic 2019,48.0,503526.0562294854
17,2019,3,21652748.444642507,Jul-Sept 2019,48.0,451098.92593005224
18,2019,2,20743117.694006097,Abr-Jun 2019,48.0,432148.2852917937
19,2019,1,20207413.77085243,Ene-Mar 2019,48.0,420987.786892759
20,2018,4,16637686.589009605,Oct-Dic 2018,28.0,594203.0924646287
21,2018,3,15410980.692582969,Jul-Sept 2018,28.0,550392.1675922489
22,2018,2,14319467.460713817,Abr-Jun 2018,28.0,511409.5521683506
23,2018,1,13171459.230893355,Ene-Mar 2018,28.0,470409.25824619125
24,2017,4,11226127.38858,Oct-Dic 2017,16.0,701632.96178625
25,2017,3,10065997.86215,Jul-Sept 2017,16.0,629124.866384375
26,2017,2,9678646.92829,Abr-Jun 2017,16.0,604915.433018125
27,2017,1,8701201.42137,Ene-Mar 2017,16.0,543825.088835625
28,2016,4,7483980.393279007,Oct-Dic 2016,14.0,534570.0280913577
29,2016,3,6912441.538856647,Jul-Sept 2016,14.0,493745.8242040462
30,2016,2,6534240.597500004,Abr-Jun 2016,14.0,466731.4712500003
31,2016,1,5936844.886499999,Ene-Mar 2016,14.0,424060.3490357142
32,2015,4,5376899.206,Oct-Dic 2015,9.0,597433.2451111111
33,2015,3,5153738.8843600005,Jul-Sept 2015,9.0,572637.6538177779
34,2015,2,4701790.719660001,Abr-Jun 2015,9.0,522421.19107333344
35,2015,1,4876385.315070001,Ene-Mar 2015,9.0,541820.5905633335
36,2014,4,3950440.78037,Oct-Dic 2014,9.0,438937.86448555556
37,2014,3,3478637.7427996206,Jul-Sept 2014,9.0,386515.3047555134
38,2014,2,3270816.20391,Abr-Jun 2014,9.0,363424.0226566667
39,2014,1,2984054.2087800005,Ene-Mar 2014,9.0,331561.57875333336
